scorer,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000
bodyparts,rf,rf,rf,lf,lf,lf,rh,rh,rh,lh,lh,lh
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
103,622.6890259,227.4049683,0.998046994,646.8517456,223.5781555,0.987982333,611.039978,261.6767578,0.979559362,653.1472778,271.3027039,0.975335717
104,622.9389038,228.0246429,0.997309864,646.1663208,223.5781555,0.984370291,612.3811035,261.6767578,0.98394233,652.2537231,271.5309753,0.970779598
105,623.5864258,228.0246429,0.997292697,646.1663208,223.6078339,0.971127033,612.9724731,261.6767578,0.983304799,651.911377,272.7983704,0.968887568
106,623.6268311,228.0246429,0.997143149,646.1663208,223.6078339,0.973993361,613.4725952,262.166687,0.974912286,651.5623169,272.9793701,0.968175113
107,624.486084,227.2289276,0.996243656,646.069397,223.9416504,0.973814189,613.5645142,262.7655334,0.973596454,651.071106,273.8672791,0.962204278
108,625.145752,227.1963501,0.995848656,646.4789429,223.9490051,0.949199796,613.5645142,263.8449402,0.957429886,651.071106,273.9927063,0.960496128
109,625.175354,226.3423004,0.996415734,646.5695801,224.4385529,0.956983387,613.5645142,268.4846497,0.95163691,651.071106,274.1851501,0.957018018
110,625.175354,226.0634613,0.996242523,646.6021118,224.5830841,0.97375077,612.382019,272.6181641,0.962430716,651.1193848,273.9927063,0.963519633
111,625.175354,226.0634613,0.997316062,647.1116943,224.9346619,0.969672024,612.03302,272.8066101,0.958034754,651.1738281,273.9927063,0.961887896
112,624.6791992,226.0942078,0.997664869,648.2537842,224.9855194,0.98183167,612.03302,273.2763977,0.961806357,651.7332764,273.0384827,0.963474631
113,624.1181641,226.0942078,0.997936249,648.2537842,224.9855194,0.983771205,612.03302,273.4544067,0.967225075,652.6633911,272.0126343,0.961774528
114,623.1591797,226.8156281,0.997923493,648.2537842,224.9936371,0.986534953,612.2970581,273.4544067,0.966078758,652.8162842,269.8695984,0.961479008
