scorer,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120,DLC_Resnet50_FootfallMar18shuffle1_snapshot_best-120
bodyparts,RF,RF,RF,LF,LF,LF,RH,RH,RH,LH,LH,LH
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
101,940.2644,712.68823,0.4185854,940.6496,710.42694,0.38084403,427.24963,716.48645,0.98014325,474.51407,673.0215,0.52874625
102,940.2894,712.9769,0.4185813,940.7121,710.60815,0.38447407,430.42734,716.48645,0.99284106,475.24203,672.7911,0.5223952
103,940.4406,712.996,0.41481495,940.72675,710.6855,0.38135704,432.12497,716.5327,0.9555147,478.6455,671.6114,0.50045353
104,940.2894,713.2197,0.41195813,940.7121,710.8534,0.38124114,432.31934,717.2605,0.9708656,478.67593,671.30334,0.49283856
105,940.2894,713.2197,0.41642874,940.7121,710.8534,0.38626403,433.736,717.6163,0.97099733,480.1421,671.30334,0.4801723
106,940.10803,713.2197,0.41033974,940.2832,710.8534,0.37921622,436.0137,717.3555,1.0,482.15927,671.25635,0.50214607
107,939.9635,713.2362,0.41572553,940.2753,710.8534,0.383131,436.40128,717.3555,1.0,483.0033,671.1663,0.5440921
108,939.9635,713.2362,0.40513518,940.2753,710.8534,0.37551153,437.54074,717.6163,1.0,483.07788,671.1663,0.5104937
109,939.8925,713.53986,0.37977323,940.23785,710.9126,0.35677353,438.4143,718.0303,1.0,484.56766,670.98474,0.52125543
110,939.8446,713.6278,0.37224677,940.23785,711.0527,0.34972695,439.01364,718.1323,0.99071157,484.77158,670.98474,0.5138048
111,939.8446,713.838,0.36642477,940.2753,711.1931,0.34540096,439.0352,718.2361,0.996401,485.1881,670.90076,0.48547876
112,939.9192,713.9195,0.3629881,940.22253,711.309,0.34277213,439.5733,718.3293,0.9582673,487.07462,670.90076,0.48758683
113,939.9192,713.9195,0.35039142,940.22253,711.309,0.331952,439.78342,718.3293,0.95116824,495.5679,666.7538,0.5804565
114,940.0527,713.9862,0.34500122,940.2847,711.316,0.32842892,439.90173,718.3293,0.9433789,495.5679,666.49133,0.6156752
115,940.1268,713.9862,0.34077692,940.4847,711.316,0.32585445,439.90173,718.3293,0.9664396,496.38806,665.9676,0.60527784
116,940.3961,713.91284,0.34375352,940.7032,711.316,0.3296304,439.9728,718.3293,0.92439693,496.6346,665.9676,0.59291095
117,940.8594,713.88477,0.34951937,941.20905,711.34875,0.3343599,439.9728,718.4627,0.9340351,496.38806,665.9676,0.60353017
118,940.93024,713.8652,0.3308806,941.20905,711.34875,0.3178057,440.32632,718.56836,0.93317264,496.38806,665.7492,0.60712653
119,940.93024,713.7765,0.33908978,941.20905,711.1459,0.32373735,440.33548,718.6365,0.9261493,496.38806,665.7492,0.57570827
120,940.93024,713.7764,0.33102328,941.122,711.276,0.31475762,441.193,718.72797,0.92559075,496.13074,665.89764,0.5781645
121,940.6091,713.7764,0.3311526,940.7244,711.276,0.31545368,441.2084,718.7521,0.9165607,495.59457,666.004,0.53683746
122,939.30023,713.775,0.33281794,938.93866,711.276,0.31249613,441.2084,718.79565,0.9231658,495.42807,667.4134,0.52237153
123,939.2573,713.7764,0.32627067,938.783,711.3654,0.3057073,441.193,718.8785,0.9291079,493.63666,667.4655,0.54492646
124,939.09326,713.9236,0.31479406,938.6467,711.4691,0.2956913,440.6981,718.79565,0.9132913,492.31766,667.7909,0.4495314
125,938.8939,713.9236,0.31417668,938.4927,711.4691,0.29522285,440.64728,718.79565,0.9274981,492.31766,667.7909,0.48527363
126,938.8939,713.775,0.30906907,938.4927,711.3654,0.29027694,440.08844,718.5733,0.9506849,489.91565,670.09985,0.44860837
127,938.46545,713.92755,0.3120094,938.0215,711.512,0.29131868,440.08276,718.454,0.94034624,489.6017,670.4443,0.43532825
128,937.31506,713.92755,0.30406684,936.7974,711.512,0.28293353,440.06708,718.454,0.9440527,489.6017,671.14746,0.47708806
129,936.2499,713.9397,0.3108612,935.20526,711.54193,0.28569528,440.01904,718.454,0.9450062,489.15857,671.14746,0.49923548
130,936.03253,714.08984,0.3190018,935.0466,711.6732,0.292822,439.98315,718.43036,0.9349885,488.95023,671.14746,0.48010343
131,935.8567,715.5871,0.3146633,934.89026,712.1094,0.28276762,439.77872,718.4167,0.94868094,489.15857,671.07715,0.47369227
132,935.8567,715.5871,0.32572088,934.89026,712.1094,0.28820708,439.39465,718.3185,0.97185296,489.15857,671.0345,0.48013255
133,935.79297,715.60284,0.30757776,934.89026,712.1314,0.27649012,439.28293,718.26184,0.9395229,492.55798,667.57806,0.45631436
134,935.8567,715.60284,0.3172038,935.14526,712.1314,0.28761047,439.28293,718.26184,0.96697533,492.55798,667.57806,0.43709224
135,935.87823,715.5062,0.31983405,935.2845,712.081,0.2821036,439.37308,718.3185,0.95899945,492.55798,667.57806,0.44356814
136,936.9432,714.5152,0.31283012,936.1213,712.0452,0.28984323,439.28293,718.26184,0.9622282,488.7629,670.10297,0.451239
137,940.52985,713.9673,0.34966362,939.53424,711.81805,0.32169366,439.26163,718.26184,0.9296731,487.6526,670.2595,0.50155497
138,941.5642,713.9673,0.35997012,940.1291,711.81805,0.3342175,439.21368,718.10724,0.95192903,486.75488,671.12146,0.5837995
139,941.5642,713.9673,0.3327485,940.28687,711.6981,0.30981055,439.20068,718.10724,0.9440362,485.941,671.2451,0.5849078
